ID_micro_fecha,micro,fecha,specie,cover
1_20240605,1,20240605,Arenaria_serpyllifolia,0.83
1_20240605,1,20240605,Asphodelus_macrocarpus_rubescens,15.81
1_20240605,1,20240605,Silene_rupestris,3.75
1_20240605,1,20240605,Torilis_cf,24.51
1_20240605,1,20240605,Trifolium_cf,5.29
1_20240605,1,20240605,Vicia_cf,1.43
1_20240702,1,20240702,Silene_rupestris,3.75
1_20240702,1,20240702,Torilis_cf,23.44
1_20241001,1,20241001,Fumaria_capreolata,6.93
1_20241001,1,20241001,Geranium_cf,4.05
1_20241001,1,20241001,Rumex_angiocarpus,1.41
1_20241001,1,20241001,Silene_rupestris,1.03
1_20250429,1,20250429,Anthriscus_caucalis,10.63
1_20250429,1,20250429,Asphodelus_macrocarpus_rubescens,30.63
1_20250429,1,20250429,Geranium_molle,6.25
1_20250429,1,20250429,Poa_pratensis,0.63
1_20250429,1,20250429,Rumex_angiocarpus,1.25
1_20250429,1,20250429,Silene_cf,1.25
1_20250429,1,20250429,Torilis_leptophylla,5.63
1_20250530,1,20250530,Anthriscus_caucalis,10.63
1_20250530,1,20250530,Asphodelus_macrocarpus_rubescens,30.63
1_20250530,1,20250530,Geranium_molle,6.25
1_20250530,1,20250530,Poa_pratensis,1.5
1_20250530,1,20250530,Rumex_angiocarpus,1.25
1_20250530,1,20250530,Silene_cf,1.25
1_20250530,1,20250530,Torilis_leptophylla,6.88
1_20250530,1,20250530,Trifolium_cf,0.38
1_20250530,1,20250530,Viola_arvensis,0.38
1_20250625,1,20250625,Anthriscus_caucalis,10.63
1_20250625,1,20250625,Asphodelus_macrocarpus_rubescens,3.75
1_20250625,1,20250625,Poa_pratensis,0.88
1_20250625,1,20250625,Silene_cf,1.25
1_20250625,1,20250625,Torilis_leptophylla,6.88
10_20240521,10,20240521,Arabis_verna,1.56
10_20240521,10,20240521,Cephalanthera_longifolia,1.07
10_20240521,10,20240521,Dactylis_glomerata_juncinella,1.7
10_20240521,10,20240521,Helichrysum_serotinum_serotinum,2.54
