ID_micro_fecha,micro,fecha,Arenaria_serpyllifolia,Asphodelus_macrocarpus_rubescens,Silene_rupestris,Torilis_cf,Trifolium_cf,Vicia_cf,Fumaria_capreolata,Geranium_cf,Rumex_angiocarpus,Anthriscus_caucalis,Asphodelus_macrocarpus_rubescens,Geranium_molle,Poa_pratensis,Silene_cf,Torilis_leptophylla,Viola_arvensis,Arabis_verna,Cephalanthera_longifolia,Dactylis_glomerata_juncinella,Helichrysum_serotinum_serotinum,Hypochaeris_glabra,Jasione_montana_gracilis,Koeleria_vallesiana,Lavandula_stoechas,Ononis_cfinosa,Thesium_humifusum,Thymus_mastichina,Trifolium_angustifolium,Ulex_parviflorus,Eryngium_bourgatii,Thymus_cf,Arabis_cf,Avenula_bromoides_bromoides,Carlina_corymbosa_hispanica,Hieracium_amplexicaule,Ononis_spinosa_australis,Thymus_zygis_gracilis,Lathyrus_cf,Trifolium_arvense,Agrostis_stolonifera,Alyssum_alyssoides,Galium_cf,Teucrium_compactum,Lolium_perenne,Teucrium_rotundifolium,Corynephorus_canescens,Achnatherum_calamagrostis,Festuca_hystrix,Sanguisorba_minor_minor,Sanguisorba_verrucosa,Logfia_minima,Cerastium_cf,Crucianella_angustifolia,Helictochloa_levis,Lamium_amplexicaule,Potentilla_cf,cfergularia_segetalis,Stellaria_media,Armeria_filicaulis_trevenqueana,Genista_versicolor,Bromus_sterilis,Cynosurus_echinatus,Genista_longipes_longipes,Lysimachia_ephemerum,Poa_bulbosa,Potentilla_hirta,Scleranthus_annuus_annuus,Veronica_cf,Linum_strictum,Muscari_matritensis,Ruta_montana,Linum_catharticum,Pilosella_pseudopilosella,Poa_cf,Cerastium_fontanum_vulgare,Acinos_alpinus_meridionalis,Anthemis_arvensis,Dorycnium_pentaphyllum,Helianthemum_apenninum,Cytisus_galianoi,Helianthemum_nummularium,Saxifraga_granulata,Campanula_rapunculus,Papaver_dubium,Tolpis_cf,Ranunculus_cf,Taraxacum_officinale,Scabiosa_turolensis_turolensis,Crepis_oporinoides,Erinacea_anthyllis,Arenaria_agreggata,Arenaria_tetraquetra_murcica,Petrorhagia_nanteuilii,Plantago_holosteum,Dianthus_brachyanthus,Dianthus_lusitanus,Poa_annua,Cuscuta_epithymum_kotschyi,Cerastium_arvense,Jurinea_falsa,Centaurea_cf,Taraxacum_laevigatum,Arenaria_alfacarensis,Jurinea_humilis,Erinacea_cytisus,Cardamine_hirsuta,Linaria_aeruginea_nevadensis,Sedum_cf,Scleranthus_annuus,Festuca_scariosa,Anthemis_pedunculata_pedunculata,Aegilops_geniculata,Agrostemma_githago,Aristolochia_paucinervis,Geranium_cf2,Rhagadiolus_stellatus,Tragopogon_cf,Convolvulus_arvensis,Rhagadiolus_edulis,Brachypodium_sylvaticum,Muscari_comosum,Hormathophylla_cf,Hormatophylla_spinosa,Arabis_auriculata,Cirsium_acaulon_gregarium,Helictotrichon_sarracenorum,Filago_micropodioides,Apium_graveolens,Petrorhagia_grande,Caucalis_platycarpos,Smyrnium_perfoliatum,Euphorbia_segetalis,Artemisia_campestris,Filago_cf,Santolina_chamaecyparissus,Anthemis_arvensis_incrassata,Myosotis_cf,Santolina_canescens,Tragopogon_pratensis,Hypericum_cf,Marrubium_supinum,Arabis_alpina,Mantisalca_salmantica,Tragopogon_angustifolius,Erysimum_cf,Senecio_minutus,Cytisus_grandiflorus,Thapsia_villosa,Crupina_vulgaris,Bituminaria_bituminosa,Bromus_tectorum,Crepis_albida_scorzoneroides,Avena_sterilis,Biscutella_laxa,Petrorhagia_larga,Lactuca_cf,Festuca_cf,Phalaris_cf,Petrosedum_cf,Thymus_serpylloides_serpylloides,Poa_nemoralis,Anthoxanthum_odoratum,Herniaria_cf,Festuca_filiformis,Argyrolobium_zanonii,Andryala_integrifolia,Helianthemum_cf,Helianthemum_appeninum_stoechadifolium,Campanula_grande,Verbascum_cf,Verbascum_nevadense,Orchis_mascula,Chaerophyllum_hirsutum,Lactuca_virosa_livida,Picnomon_acarna,Scorzonera_angustifolia,Cistus_clusii_clusii,Macrochloa_tenacissima,Paronychia_argentea,Andryala_ragusina,Anthyllis_cf,Anthyllis_cytisoides,Paronychia_sufruticosa_sufruticosa
1_20240605,1,20240605,0.83,15.81,3.75,24.51,5.29,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_20240702,1,20240702,0,0,3.75,23.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_20241001,1,20241001,0,0,1.03,0,0,0,6.93,4.05,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_20250429,1,20250429,0,0,0,0,0,0,0,0,1.25,10.63,30.63,6.25,0.63,1.25,5.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_20250530,1,20250530,0,0,0,0,0.38,0,0,0,1.25,10.63,30.63,6.25,1.5,1.25,6.88,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_20250625,1,20250625,0,0,0,0,0,0,0,0,0,10.63,3.75,0,0.88,1.25,6.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10_20240521,10,20240521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56,1.07,1.7,2.54,6.72,1.07,6.11,6.56,20.15,0.94,7.9,3.18,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10_20240626,10,20240626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,1.07,1.49,2.54,6.51,1.07,6.53,6.56,19.94,0.94,0,3.18,2.82,0.42,6.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10_20240722,10,20240722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,1.07,1.49,2.54,6.51,0,6.53,6.56,19.94,0.94,0,3.18,2.82,0.42,6.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10_20240916,10,20240916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49,1.11,0,0,5.53,6.56,11.68,0.94,0,0,2.82,0,6.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
