Specie,SLA,SDM,H,Leaf_N,DispMode,PollMode,LifeForm,Ciclo,Strata
Asphodelus_macrocarpus_rubescens,11.3,3.1,0.24,2.03,Anemochory,Zoophily,geophyte,Anual,Her
Achnatherum_calamagrostis,17.2,0.5,0.8,1.82,Herpochory,Anemophily,hemicryptophyte,Perenne,Her
Acinos_alpinus_meridionalis,15,1.6,0.14,1.79,Herpochory,Zoophily,chamaephyte,Perenne,Mat
Adenocarpus_decorticans,18,28.3,1.5,3.88,Autochory,NA,phanerophyte,Perenne,Arb
Aegilops_geniculata,22.7,17,0.22,2.5,Autochory,Anemophily,therophyte,Anual,Her
Agrostemma_githago,17.73,12.6,0.5,2.3,Endozoochory,Zoophily,therophyte,Anual,Her
Agrostis_stolonifera,31.5,0.07,0.4,3.25,Endozoochory,Anemophily,hemicryptophyte,Perenne,Her
Alyssum_alyssoides,18.84,0.7,0.23,NA,Anemochory,Zoophily,NA,Perenne,Her
Andryala_integrifolia,24.1,0.19,0.4,NA,Endozoochory,Zoophily,hemicryptophyte,Perenne,Her
Andryala_ragusina,13.82,0.23,0.2,NA,Anemochory,Zoophily,hemicryptophyte,Perenne,Her
Anthemis_arvensis,31.4,0.72,0.69,1.7,Endozoochory,Zoophily,therophyte,Anual,Her
Anthemis_arvensis_incrassata,33,0.72,0.6,1.7,Endozoochory,Zoophily,therophyte,Anual,Her
Anthemis_pedunculata_pedunculata,NA,0.7,0.3,NA,Hidrochory,Zoophily,therophyte,Anual,Her
Anthoxanthum_odoratum,29,0.73,0.5,24.7,Anemochory,Anemophily,hemicryptophyte,Perenne,Her
Anthriscus_caucalis,NA,3,1,2.6,Epizoochory,Zoophily,chamaephyte,Perenne,Mat
Anthyllis_cf,NA,3,1,2.6,Epizoochory,Zoophily,chamaephyte,Perenne,Mat
Anthyllis_cytisoides,NA,3,1,2.6,Epizoochory,Zoophily,chamaephyte,Perenne,Mat
Apium_graveolens,17,0.4,1,NA,Anemochory,Zoophily,NA,Anual,Her
Arabis_alpina,51,0.24,0.1,2.94,Hidrochory,Zoophily,hemicryptophyte,Perenne,Her
Arabis_auriculata,NA,0.023,0.3,NA,Hidrochory,Zoophily,therophyte,Anual,Her
Arabis_cf,26.3,0.196,0.2,3,Anemochory,Zoophily,NA,Anual,Her
Arabis_verna,26.3,0.196,0.2,3,Anemochory,Zoophily,NA,Anual,Her
Arenaria_agreggata,9.64,0.27,0.1,2.32,Endozoochory,Autogamy,chamaephyte,Anual,Mat
Arenaria_alfacarensis,9.19,0.13,0.05,1.7,Autochory,Zoophily,chamaephyte,Anual,Mat
Arenaria_serpyllifolia,18.8,0.07,13,1,Anemochory,Zoophily,therophyte,Anual,Her
