Parcela;Orientacion;Cota;Ecosistema;Fecha;Microestacion;Tratamiento;Cobertura_forestereo;Cuadrat;Subcuadrat;Cobertura_arborea;CoberSueloDesnudo;CoberLitter;CoberHerbVerde_Seco;CoberHerbVerde;CoberHerbSeco;CoberNoHerbVerde_Seco;CoberArbusVerde_Seco;CoberArbusVerde;CoberArbusSeca;CoberArbolVerde_Seco;CoberArbolVerde;CoberArbolSeca;CoberMataVerde_Seco;CoberMataVerde;CoberMataSeca;EspecieArbus;EspecieArbol;EspecieMata;EspecieHerb;Observaciones_campo;Familia;Ciclo_vida_herbacea;LifeForm;Fenofase
Nacimiento;Norte;1200;Pinar_ha;20250422;Collar_1-4;Refugio;0.544344462;N_1;A;90;0;100;0;;;0;0;;;0;;;0;;;;;;;PINOCHA;;;;
Nacimiento;Norte;1200;Pinar_ha;20250422;Collar_1-4;Refugio;0.544344462;N_1;B;90;0;100;0;;;0;0;;;0;;;0;;;;;;;PINOCHA;;;;
Nacimiento;Norte;1200;Pinar_ha;20250422;Collar_1-4;Refugio;0.544344462;N_1;C;90;0;100;0;;;0;0;;;0;;;0;;;;;;;PINOCHA;;;;
Nacimiento;Norte;1200;Pinar_ha;20250422;Collar_1-4;Refugio;0.544344462;N_1;D;90;0;100;0;;;0;0;;;0;;;0;;;;;;;PINOCHA;;;;
Nacimiento;Norte;1200;Pinar_ha;20250422;Collar_1-4;Refugio;0.544344462;N_2;A;80;0;100;0;;;0;0;;;0;;;0;;;;;;;PINOCHA;;;;
Nacimiento;Norte;1200;Pinar_ha;20250422;Collar_1-4;Refugio;0.544344462;N_2;B;80;0;100;0;;;0;0;;;0;;;0;;;;;;;PINOCHA;;;;
Nacimiento;Norte;1200;Pinar_ha;20250422;Collar_1-4;Refugio;0.544344462;N_2;C;80;0;100;0;;;0;0;;;0;;;0;;;;;;;PINOCHA;;;;
Nacimiento;Norte;1200;Pinar_ha;20250422;Collar_1-4;Refugio;0.544344462;N_2;D;80;0;100;0;;;0;0;;;0;;;0;;;;;;;PINOCHA;;;;
Nacimiento;Norte;1200;Pinar_ha;20250422;Collar_5-8;Control;0.730136627;N_1;A;70;0;100;0;;;0;0;;;0;;;0;;;;;;;PINOCHA;;;;
Nacimiento;Norte;1200;Pinar_ha;20250422;Collar_5-8;Control;0.730136627;N_1;B;70;0;100;0;;;0;0;;;0;;;0;;;;;;;PINOCHA;;;;
Nacimiento;Norte;1200;Pinar_ha;20250422;Collar_5-8;Control;0.730136627;N_1;C;70;0;100;0;;;0;0;;;0;;;0;;;;;;;PINOCHA;;;;
Nacimiento;Norte;1200;Pinar_ha;20250422;Collar_5-8;Control;0.730136627;N_1;D;70;0;100;0;;;0;0;;;0;;;0;;;;;;;PINOCHA;;;;
Nacimiento;Norte;1200;Pinar_ha;20250422;Collar_5-8;Control;0.730136627;N_2;A;30;0;100;0;;;0;0;;;0;;;0;;;;;;;PINOCHA;;;;
Nacimiento;Norte;1200;Pinar_ha;20250422;Collar_5-8;Control;0.730136627;N_2;B;30;0;100;0;;;0;0;;;0;;;0;;;;;;;PINOCHA;;;;
Nacimiento;Norte;1200;Pinar_ha;20250422;Collar_5-8;Control;0.730136627;N_2;C;30;0;100;0;;;0;0;;;0;;;0;;;;;;;PINOCHA;;;;
Nacimiento;Norte;1200;Pinar_ha;20250422;Collar_5-8;Control;0.730136627;N_2;D;30;0;100;0;;;0;0;;;0;;;0;;;;;;;PINOCHA;;;;
Nacimiento;Norte;1200;Pinar_ha;20250422;Collar_9-12;Refugio;0.344418743;N_1;A;10;0;100;0;;;0;0;;;0;;;0;;;;;;;PINOCHA;;;;
Nacimiento;Norte;1200;Pinar_ha;20250422;Collar_9-12;Refugio;0.344418743;N_1;B;10;0;95;5;5;0;0;0;;;0;;;0;;;;;;Sedum_cf;;Crassulaceae;NA;therophyte;Vegetativo
Nacimiento;Norte;1200;Pinar_ha;20250422;Collar_9-12;Refugio;0.344418743;N_1;C;10;0;100;0;;;0;0;;;0;;;0;;;;;;;PINOCHA;;;;
Nacimiento;Norte;1200;Pinar_ha;20250422;Collar_9-12;Refugio;0.344418743;N_1;D;10;0;100;0;;;0;0;;;0;;;0;;;;;;;PINOCHA;;;;
