Parcela;Orientacion;Cota;Ecosistema;Fecha;Microestacion;Tratamiento;Cobertura_forestereo;Cuadrat;Subcuadrat;Cobertura_arborea;CoberSueloDesnudo;CoberLitter;CoberHerbVerde_Seco;CoberHerbVerde;CoberHerbSeco;CoberNoHerbVerde_Seco;CoberArbusVerde_Seco;CoberArbusVerde;CoberArbusSeca;CoberArbolVerde_Seco;CoberArbolVerde;CoberArbolSeca;CoberMataVerde_Seco;CoberMataVerde;CoberMataSeca;EspecieArbus;EspecieArbol;EspecieMata;EspecieHerb;Observaciones_campo;Familia;Ciclo_vida_herbacea;LifeForm;Fenofase
Camarate;Norte;1700;Robledal;20240605;1;Control;0.433905504;Cam_1;A;0;20;0;22.85714286;22.85714286;;0;0;;;0;;;0;;;;;;Torilis_leptophylla;;Apiaceae;anual;therophyte;Floracion
Camarate;Norte;1700;Robledal;20240605;1;Control;0.433905504;Cam_1;A;0;20;0;11.42857143;11.42857143;;0;0;;;0;;;0;;;;;;Vicia;;Fabaceae;NA;NA;Vegetativo
Camarate;Norte;1700;Robledal;20240605;1;Control;0.433905504;Cam_1;A;0;20;0;11.42857143;11.42857143;;0;0;;;0;;;0;;;;;;Asphodelus_macrocarpus_rubescens;;Asphodelaceae;anual;geophyte;Vegetativo
Camarate;Norte;1700;Robledal;20240605;1;Control;0.433905504;Cam_1;A;0;20;0;11.42857143;11.42857143;;0;0;;;0;;;0;;;;;;Trifolium;;Fabaceae;NA;NA;Floracion
Camarate;Norte;1700;Robledal;20240605;1;Control;0.433905504;Cam_1;A;0;20;0;22.85714286;;22.85714286;0;0;;;0;;;0;;;;;;Asphodelus_macrocarpus_rubescens;;Asphodelaceae;anual;geophyte;Muerta
Camarate;Norte;1700;Robledal;20240605;1;Control;0.433905504;Cam_1;B;0;0;0;33.33333333;33.33333333;;0;0;;;0;;;0;;;;;;Anthriscus_caucalis;;Apiaceae;anual;therophyte;Floracion
Camarate;Norte;1700;Robledal;20240605;1;Control;0.433905504;Cam_1;B;0;0;0;16.66666667;16.66666667;;0;0;;;0;;;0;;;;;;Asphodelus_macrocarpus_rubescens;;Asphodelaceae;anual;geophyte;Vegetativo
Camarate;Norte;1700;Robledal;20240605;1;Control;0.433905504;Cam_1;B;0;0;0;33.33333333;;33.33333333;0;0;;;0;;;0;;;;;;Asphodelus_macrocarpus_rubescens;;Asphodelaceae;anual;geophyte;Muerta
Camarate;Norte;1700;Robledal;20240605;1;Control;0.433905504;Cam_1;B;0;0;0;16.66666667;16.66666667;;0;0;;;0;;;0;;;;;;Silene;;Caryophyllaceae;NA;NA;Vegetativo
Camarate;Norte;1700;Robledal;20240605;1;Control;0.433905504;Cam_1;C;0;10;0;38.57142857;38.57142857;;0;0;;;0;;;0;;;;;;Anthriscus_caucalis;;Apiaceae;anual;therophyte;Frutificacion
Camarate;Norte;1700;Robledal;20240605;1;Control;0.433905504;Cam_1;C;0;10;0;25.71428571;25.71428571;;0;0;;;0;;;0;;;;;;Asphodelus_macrocarpus_rubescens;;Asphodelaceae;anual;geophyte;Vegetativo
Camarate;Norte;1700;Robledal;20240605;1;Control;0.433905504;Cam_1;C;0;10;0;12.85714286;12.85714286;;0;0;;;0;;;0;;;;;;Trifolium;;Fabaceae;NA;NA;Floracion
Camarate;Norte;1700;Robledal;20240605;1;Control;0.433905504;Cam_1;C;0;10;0;12.85714286;;12.85714286;0;0;;;0;;;0;;;;;;Asphodelus_macrocarpus_rubescens;;Asphodelaceae;anual;geophyte;Muerta
Camarate;Norte;1700;Robledal;20240605;1;Control;0.433905504;Cam_1;D;0;10;0;18;;18;0;0;;;0;;;0;;;;;;Asphodelus_macrocarpus_rubescens;;Asphodelaceae;anual;geophyte;Muerta
Camarate;Norte;1700;Robledal;20240605;1;Control;0.433905504;Cam_1;D;0;10;0;18;18;;0;0;;;0;;;0;;;;;;Asphodelus_macrocarpus_rubescens;;Asphodelaceae;anual;geophyte;Vegetativo
Camarate;Norte;1700;Robledal;20240605;1;Control;0.433905504;Cam_1;D;0;10;0;18;18;;0;0;;;0;;;0;;;;;;Trifolium;;Fabaceae;NA;NA;Floracion
Camarate;Norte;1700;Robledal;20240605;1;Control;0.433905504;Cam_1;D;0;10;0;36;36;;0;0;;;0;;;0;;;;;;Torilis_leptophylla;;Apiaceae;anual;therophyte;Frutificacion
Camarate;Norte;1700;Robledal;20240605;1;Control;0.433905504;Cam_2;A;5;60;0;6.666666668;6.666666668;;0;0;;;0;;;0;;;;;;Arenaria_serpyllifolia;;Caryophyllaceae;anual;therophyte;Floracion
Camarate;Norte;1700;Robledal;20240605;1;Control;0.433905504;Cam_2;A;5;60;0;13.33333333;13.33333333;;0;0;;;0;;;0;;;;;;Silene;;Caryophyllaceae;NA;NA;Frutificacion
Camarate;Norte;1700;Robledal;20240605;1;Control;0.433905504;Cam_2;A;5;60;0;13.33333333;13.33333333;;0;0;;;0;;;0;;;;;;Torilis_leptophylla;;Apiaceae;anual;therophyte;Floracion
Camarate;Norte;1700;Robledal;20240605;1;Control;0.433905504;Cam_2;A;5;60;0;6.666666668;6.666666668;;0;0;;;0;;;0;;;;;;Asphodelus_macrocarpus_rubescens;;Asphodelaceae;anual;geophyte;Vegetativo
Camarate;Norte;1700;Robledal;20240605;1;Control;0.433905504;Cam_2;B;5;0;20;48;48;;0;0;;;0;;;0;;;;;;Asphodelus_macrocarpus_rubescens;Hojarasca_Quercus_pyrenaica;Asphodelaceae;anual;geophyte;Vegetativo
Camarate;Norte;1700;Robledal;20240605;1;Control;0.433905504;Cam_2;B;5;0;20;32;32;;0;0;;;0;;;0;;;;;;Torilis_leptophylla;Hojarasca_Quercus_pyrenaica;Apiaceae;anual;therophyte;Floracion
Camarate;Norte;1700;Robledal;20240605;1;Control;0.433905504;Cam_2;C;5;50;50;0;;;0;0;;;0;;;0;;;;;;;Hojarasca_Quercus_pyrenaica;;;;
Camarate;Norte;1700;Robledal;20240605;1;Control;0.433905504;Cam_2;D;5;40;40;20;20;;0;0;;;0;;;0;;;;;;Torilis_leptophylla;Hojarasca_Quercus_pyrenaica;Apiaceae;anual;therophyte;Floracion
Camarate;Norte;1700;Robledal;20240702;1;Control;0.433905504;Cam_1;A;0;20;0;22.85714286;22.85714286;;0;0;;;0;;;0;;;;;;Torilis_leptophylla;;Apiaceae;anual;therophyte;Frutificacion
Camarate;Norte;1700;Robledal;20240702;1;Control;0.433905504;Cam_1;A;0;20;0;11.42857143;;11.42857143;0;0;;;0;;;0;;;;;;Vicia;;Fabaceae;NA;NA;Muerta
Camarate;Norte;1700;Robledal;20240702;1;Control;0.433905504;Cam_1;A;0;20;0;34.28571429;;34.28571429;0;0;;;0;;;0;;;;;;Asphodelus_macrocarpus_rubescens;;Asphodelaceae;anual;geophyte;Muerta
Camarate;Norte;1700;Robledal;20240702;1;Control;0.433905504;Cam_1;A;0;20;0;11.42857143;;11.42857143;0;0;;;0;;;0;;;;;;Trifolium;;Fabaceae;NA;NA;Muerta
Camarate;Norte;1700;Robledal;20240702;1;Control;0.433905504;Cam_1;B;0;0;0;33.33333333;33.33333333;;0;0;;;0;;;0;;;;;;Anthriscus_caucalis;;Apiaceae;anual;therophyte;Frutificacion
Camarate;Norte;1700;Robledal;20240702;1;Control;0.433905504;Cam_1;B;0;0;0;50;;50;0;0;;;0;;;0;;;;;;Asphodelus_macrocarpus_rubescens;;Asphodelaceae;anual;geophyte;Muerta
Camarate;Norte;1700;Robledal;20240702;1;Control;0.433905504;Cam_1;B;0;0;0;16.66666667;16.66666667;;0;0;;;0;;;0;;;;;;Silene;;Caryophyllaceae;NA;NA;Frutificacion
Camarate;Norte;1700;Robledal;20240702;1;Control;0.433905504;Cam_1;C;0;10;0;30;30;;0;0;;;0;;;0;;;;;;Anthriscus_caucalis;;Apiaceae;anual;therophyte;Frutificacion
Camarate;Norte;1700;Robledal;20240702;1;Control;0.433905504;Cam_1;C;0;10;0;45;;45;0;0;;;0;;;0;;;;;;Asphodelus_macrocarpus_rubescens;;Asphodelaceae;anual;geophyte;Muerta
Camarate;Norte;1700;Robledal;20240702;1;Control;0.433905504;Cam_1;C;0;10;0;15;;15;0;0;;;0;;;0;;;;;;Trifolium;;Fabaceae;NA;NA;Muerta
Camarate;Norte;1700;Robledal;20240702;1;Control;0.433905504;Cam_1;D;0;10;0;36;;36;0;0;;;0;;;0;;;;;;Asphodelus_macrocarpus_rubescens;;Asphodelaceae;anual;geophyte;Muerta
Camarate;Norte;1700;Robledal;20240702;1;Control;0.433905504;Cam_1;D;0;10;0;18;;18;0;0;;;0;;;0;;;;;;Trifolium;;Fabaceae;NA;NA;Muerta
Camarate;Norte;1700;Robledal;20240702;1;Control;0.433905504;Cam_1;D;0;10;0;36;36;;0;0;;;0;;;0;;;;;;Torilis_leptophylla;;Apiaceae;anual;therophyte;Frutificacion
Camarate;Norte;1700;Robledal;20240702;1;Control;0.433905504;Cam_2;A;5;60;0;6.666666668;;6.666666668;0;0;;;0;;;0;;;;;;Arenaria_serpyllifolia;;Caryophyllaceae;anual;therophyte;Muerta
Camarate;Norte;1700;Robledal;20240702;1;Control;0.433905504;Cam_2;A;5;60;0;13.33333333;13.33333333;;0;0;;;0;;;0;;;;;;Silene;;Caryophyllaceae;NA;NA;Frutificacion
Camarate;Norte;1700;Robledal;20240702;1;Control;0.433905504;Cam_2;A;5;60;0;13.33333333;13.33333333;;0;0;;;0;;;0;;;;;;Torilis_leptophylla;;Apiaceae;anual;therophyte;Frutificacion
Camarate;Norte;1700;Robledal;20240702;1;Control;0.433905504;Cam_2;A;5;60;0;6.666666668;;6.666666668;0;0;;;0;;;0;;;;;;Asphodelus_macrocarpus_rubescens;;Asphodelaceae;anual;geophyte;Muerta
Camarate;Norte;1700;Robledal;20240702;1;Control;0.433905504;Cam_2;B;5;0;20;48;;48;0;0;;;0;;;0;;;;;;Asphodelus_macrocarpus_rubescens;Hojarasca_Quercus_pyrenaica;Asphodelaceae;anual;geophyte;Muerta
Camarate;Norte;1700;Robledal;20240702;1;Control;0.433905504;Cam_2;B;5;0;20;32;32;;0;0;;;0;;;0;;;;;;Torilis_leptophylla;Hojarasca_Quercus_pyrenaica;Apiaceae;anual;therophyte;Frutificacion
Camarate;Norte;1700;Robledal;20240702;1;Control;0.433905504;Cam_2;C;5;50;50;0;;;0;0;;;0;;;0;;;;;;;Hojarasca_Quercus_pyrenaica;;;;
Camarate;Norte;1700;Robledal;20240702;1;Control;0.433905504;Cam_2;D;5;40;40;20;20;;0;0;;;0;;;0;;;;;;Torilis_leptophylla;Hojarasca_Quercus_pyrenaica;Apiaceae;anual;therophyte;Frutificacion
Camarate;Norte;1700;Robledal;20240903;1;Control;0.433905504;Cam_1;A;0;20;0;22.85714286;;22.85714286;0;0;;;0;;;0;;;;;;Torilis_leptophylla;;Apiaceae;anual;therophyte;Muerta
Camarate;Norte;1700;Robledal;20240903;1;Control;0.433905504;Cam_1;A;0;20;0;11.42857143;;11.42857143;0;0;;;0;;;0;;;;;;Vicia;;Fabaceae;NA;NA;Muerta
Camarate;Norte;1700;Robledal;20240903;1;Control;0.433905504;Cam_1;A;0;20;0;34.28571429;;34.28571429;0;0;;;0;;;0;;;;;;Asphodelus_macrocarpus_rubescens;;Asphodelaceae;anual;geophyte;Muerta
Camarate;Norte;1700;Robledal;20240903;1;Control;0.433905504;Cam_1;A;0;20;0;11.42857143;;11.42857143;0;0;;;0;;;0;;;;;;Trifolium;;Fabaceae;NA;NA;Muerta
Camarate;Norte;1700;Robledal;20240903;1;Control;0.433905504;Cam_1;B;0;0;0;40;;40;0;0;;;0;;;0;;;;;;Anthriscus_caucalis;;Apiaceae;anual;therophyte;Muerta
Camarate;Norte;1700;Robledal;20240903;1;Control;0.433905504;Cam_1;B;0;0;0;40;;40;0;0;;;0;;;0;;;;;;Asphodelus_macrocarpus_rubescens;;Asphodelaceae;anual;geophyte;Muerta
Camarate;Norte;1700;Robledal;20240903;1;Control;0.433905504;Cam_1;B;0;0;0;20;;20;0;0;;;0;;;0;;;;;;Silene;;Caryophyllaceae;NA;NA;Muerta
Camarate;Norte;1700;Robledal;20240903;1;Control;0.433905504;Cam_1;C;0;10;0;36;;36;0;0;;;0;;;0;;;;;;Anthriscus_caucalis;;Apiaceae;anual;therophyte;Muerta
Camarate;Norte;1700;Robledal;20240903;1;Control;0.433905504;Cam_1;C;0;10;0;36;;36;0;0;;;0;;;0;;;;;;Asphodelus_macrocarpus_rubescens;;Asphodelaceae;anual;geophyte;Muerta
Camarate;Norte;1700;Robledal;20240903;1;Control;0.433905504;Cam_1;C;0;10;0;18;;18;0;0;;;0;;;0;;;;;;Trifolium;;Fabaceae;NA;NA;Muerta
Camarate;Norte;1700;Robledal;20240903;1;Control;0.433905504;Cam_1;D;0;10;0;36;;36;0;0;;;0;;;0;;;;;;Asphodelus_macrocarpus_rubescens;;Asphodelaceae;anual;geophyte;Muerta
Camarate;Norte;1700;Robledal;20240903;1;Control;0.433905504;Cam_1;D;0;10;0;18;;18;0;0;;;0;;;0;;;;;;Trifolium;;Fabaceae;NA;NA;Muerta
Camarate;Norte;1700;Robledal;20240903;1;Control;0.433905504;Cam_1;D;0;10;0;36;;36;0;0;;;0;;;0;;;;;;Torilis_leptophylla;;Apiaceae;anual;therophyte;Muerta
Camarate;Norte;1700;Robledal;20240903;1;Control;0.433905504;Cam_2;A;5;60;0;6.666666668;;6.666666668;0;0;;;0;;;0;;;;;;Arenaria_serpyllifolia;;Caryophyllaceae;anual;therophyte;Muerta
Camarate;Norte;1700;Robledal;20240903;1;Control;0.433905504;Cam_2;A;5;60;0;13.33333333;;13.33333333;0;0;;;0;;;0;;;;;;Silene;;Caryophyllaceae;NA;NA;Muerta
Camarate;Norte;1700;Robledal;20240903;1;Control;0.433905504;Cam_2;A;5;60;0;13.33333333;;13.33333333;0;0;;;0;;;0;;;;;;Torilis_leptophylla;;Apiaceae;anual;therophyte;Muerta
Camarate;Norte;1700;Robledal;20240903;1;Control;0.433905504;Cam_2;A;5;60;0;6.666666668;;6.666666668;0;0;;;0;;;0;;;;;;Asphodelus_macrocarpus_rubescens;;Asphodelaceae;anual;geophyte;Muerta
Camarate;Norte;1700;Robledal;20240903;1;Control;0.433905504;Cam_2;B;5;0;20;48;;48;0;0;;;0;;;0;;;;;;Asphodelus_macrocarpus_rubescens;Hojarasca_Quercus_pyrenaica;Asphodelaceae;anual;geophyte;Muerta
Camarate;Norte;1700;Robledal;20240903;1;Control;0.433905504;Cam_2;B;5;0;20;32;;32;0;0;;;0;;;0;;;;;;Torilis_leptophylla;Hojarasca_Quercus_pyrenaica;Apiaceae;anual;therophyte;Muerta
Camarate;Norte;1700;Robledal;20240903;1;Control;0.433905504;Cam_2;C;5;50;50;0;;;0;0;;;0;;;0;;;;;;;Hojarasca_Quercus_pyrenaica;;;;
Camarate;Norte;1700;Robledal;20240903;1;Control;0.433905504;Cam_2;D;5;40;40;20;;20;0;0;;;0;;;0;;;;;;Torilis_leptophylla;Hojarasca_Quercus_pyrenaica;Apiaceae;anual;therophyte;Muerta
Camarate;Norte;1700;Robledal;20241001;1;Control;0.433905504;Cam_1;A;0;20;0;16.5118679;;16.5118679;0;0;;;0;;;0;;;;;;Torilis_leptophylla;;Apiaceae;anual;therophyte;Muerta
Camarate;Norte;1700;Robledal;20241001;1;Control;0.433905504;Cam_1;A;0;20;0;8.255933952;;8.255933952;0;0;;;0;;;0;;;;;;Vicia;;Fabaceae;NA;NA;Muerta
Camarate;Norte;1700;Robledal;20241001;1;Control;0.433905504;Cam_1;A;0;20;0;30.46439629;;30.46439629;0;0;;;0;;;0;;;;;;Asphodelus_macrocarpus_rubescens;;Asphodelaceae;anual;geophyte;Muerta
