Parcela;Orientacion;Ecosistema;Cota;Microestacion;Tratamiento;Cobertura_arborea;Fecha;Cuadrante;Especie_dominante;Cobertura_entorno;Especies_juveniles;Num_juveniles;Altura_cm;Porte
Canar;Sur;Piornal;2000;39;Control;0;20240626;1;Thymus_zygis_gracilis;30;;0;;
Canar;Sur;Piornal;2000;39;Control;0;20240626;2;Thymus_zygis_gracilis;25;;0;;
Canar;Sur;Piornal;2000;39;Control;0;20240626;3;Cytisus_galianoi;50;;0;;
Canar;Sur;Piornal;2000;39;Control;0;20240626;4;Festuca_sp;80;;0;;
Canar;Sur;Piornal;2000;3;Refugio;0;20240626;1;Festuca_sp;100;;0;;
Canar;Sur;Piornal;2000;3;Refugio;0;20240626;2;Festuca_sp;60;;0;;
Canar;Sur;Piornal;2000;3;Refugio;0;20240626;3;Cytisus_galianoi;60;;0;;
Canar;Sur;Piornal;2000;3;Refugio;0;20240626;4;Cytisus_galianoi;80;;0;;
Canar;Sur;Piornal;2000;36;Control;0;20240626;1;Cytisus_galianoi;70;;0;;
Canar;Sur;Piornal;2000;36;Control;0;20240626;2;Cytisus_galianoi;65;;0;;
Canar;Sur;Piornal;2000;36;Control;0;20240626;3;Cytisus_galianoi;70;;0;;
Canar;Sur;Piornal;2000;36;Control;0;20240626;4;Cytisus_galianoi;40;;0;;
Canar;Sur;Piornal;2000;35;Refugio;0;20240626;1;Cytisus_galianoi;95;;0;;
Canar;Sur;Piornal;2000;35;Refugio;0;20240626;2;Cytisus_galianoi;95;;0;;
Canar;Sur;Piornal;2000;35;Refugio;0;20240626;3;Cytisus_galianoi;85;;0;;
Canar;Sur;Piornal;2000;35;Refugio;0;20240626;4;Cytisus_galianoi;70;;0;;
Canar;Sur;Piornal;2000;38;Control;0;20240626;1;Cytisus_galianoi;75;;0;;
Canar;Sur;Piornal;2000;38;Control;0;20240626;2;Cytisus_galianoi;70;;0;;
Canar;Sur;Piornal;2000;38;Control;0;20240626;3;Cytisus_galianoi;75;;0;;
Canar;Sur;Piornal;2000;38;Control;0;20240626;4;Cytisus_galianoi;70;;0;;
Canar;Sur;Piornal;2000;37;Refugio;0;20240626;1;Cytisus_galianoi;85;;0;;
Canar;Sur;Piornal;2000;37;Refugio;0;20240626;2;Cytisus_galianoi;65;;0;;
