Parcela;Cota;Ecosistema;Orientacion;Microestacion;Tratamiento;Cobertura_arborea;Fecha_instalación;Fecha_recogida;Dias_campo;Muestra;Superficie_lámina (cm2);Absorb_NH4;ppm N-NH4;µg resina-1 NH4;µg cm-2 NH4;NH4;Absorb_NO3;ppm N-NO3;µg resina-1 NO3;µg cm-2 NO3;NO3;Absorb_PO4;ppm N-PO4;µg resina-1 PO4;µg cm-2 PO4;PO4
Camarate;1500;Encinar;Norte;40;Refugio;0.359531075;10/04/2024;07/06/2024;58;1;8.8;0.198;0.854310546;42.71552727;4.85403719;0.083690296;1.48;8.839228934;441.9614467;53.8977374;0.929271335;1.69;3.127656041;156.3828021;19.07107342;0.328811611
Camarate;1500;Encinar;Norte;40;Refugio;0.359531075;10/04/2024;07/06/2024;58;2;8.58;0.196;0.841853575;42.09267872;4.905906611;0.084584597;1.846;11.1147023;555.7351148;75.30286109;1.298325191;1.56;1.932346879;96.61734394;13.09178102;0.225720362
Camarate;1500;Encinar;Norte;40;Refugio;0.359531075;10/04/2024;07/06/2024;58;3;8.19;0.194;0.82524428;41.26221399;5.038121367;0.086864162;1.676;10.06001209;503.0006044;61.34153712;1.057612709;1.54;1.777344194;88.86720972;10.8374646;0.186852838
Camarate;1500;Encinar;Norte;41;Control;0.059943538;10/04/2024;07/06/2024;58;1;9.03;0.201;0.87091984;43.545992;4.822368993;0.083144293;1.745;10.48977759;524.4888793;62.4391523;1.076537109;1.6;2.281102919;114.0551459;13.57799356;0.234103337
Camarate;1500;Encinar;Norte;41;Control;0.059943538;10/04/2024;07/06/2024;58;2;8.8;0.364;1.884086812;94.20434059;10.7050387;0.184569633;0.777;4.458527478;222.9263739;28.6169928;0.493396428;1.89;4.874417062;243.7208531;31.28637395;0.539420241
Camarate;1500;Encinar;Norte;41;Control;0.059943538;10/04/2024;07/06/2024;58;3;8;0.194;0.82524428;41.26221399;5.157776749;0.088927185;1.612;9.66180425;483.0902125;57.51073958;0.991564476;1.98;5.735874289;286.7937145;34.14210886;0.588657049
Camarate;1500;Encinar;Norte;42;Refugio;0.629552111;10/04/2024;07/06/2024;58;1;9.45;0.189;0.794101853;39.70509262;4.201597103;0.072441329;1.296;7.692668564;384.6334282;32.73475985;0.564392411;2.14;7.157725837;357.8862918;30.45840782;0.525144962
Camarate;1500;Encinar;Norte;42;Refugio;0.629552111;10/04/2024;07/06/2024;58;2;8.8;0.185;0.773340234;38.66701171;4.393978603;0.075758252;1.27;7.52917082;376.458541;34.82502692;0.600431499;2.13;7.077243674;353.8621837;32.73470709;0.564391502
Camarate;1500;Encinar;Norte;42;Refugio;0.629552111;10/04/2024;07/06/2024;58;3;9.45;0.186;0.777492558;38.87462789;4.113717237;0.070926159;1.587;9.503600718;475.1800359;53.87528752;0.928884268;1.9;4.968312919;248.415646;28.16503922;0.485604125
Camarate;1500;Encinar;Norte;43;Control;0.20510848;10/04/2024;07/06/2024;58;1;8.6;0.142;0.505515359;25.27576792;2.939042782;0.050673151;1.744;10.48147294;524.073647;62.38971988;1.075684825;2.57;10.93144504;546.5722519;65.06812523;1.121864228
Camarate;1500;Encinar;Norte;43;Control;0.20510848;10/04/2024;07/06/2024;58;2;9.9;0.184;0.762959425;38.14797125;3.85333043;0.066436732;0.985;5.754052458;287.7026229;22.67160149;0.390889681;2.63;11.47693525;573.8467627;45.22039107;0.779661915
Camarate;1500;Encinar;Norte;43;Control;0.20510848;10/04/2024;07/06/2024;58;3;10.12;0.16;0.615551935;30.77759677;3.041264503;0.052435595;1.769;10.63562795;531.7813977;46.24186067;0.79727346;2.7;12.15060077;607.5300384;52.82869899;0.910839638
Camarate;1500;Encinar;Norte;44;Control;0.10444143;10/04/2024;07/06/2024;58;1;9.66;0.165;0.644618201;32.23091004;3.336533131;0.057526433;1.74;10.456559;522.8279499;51.66284089;0.890738636;2.61;11.33385585;566.6927927;55.99731153;0.965470888
Camarate;1500;Encinar;Norte;44;Control;0.10444143;10/04/2024;07/06/2024;58;2;9;0.168;0.665379819;33.26899096;3.696554551;0.063733699;1.665;9.986308343;499.3154172;50.43590072;0.869584495;2.75;12.56195405;628.0977023;63.44421235;1.09386573
Camarate;1500;Encinar;Norte;44;Control;0.10444143;10/04/2024;07/06/2024;58;3;9.66;0.223;1.005870359;50.29351794;5.206368317;0.089764971;1.84;11.07940755;553.9703773;44.31763018;0.764097072;2.63;11.497801;574.89005;45.991204;0.792951793
Camarate;1500;Encinar;Norte;45;Refugio;0.554234881;10/04/2024;07/06/2024;58;1;9.89;0.187;0.785797205;39.28986026;3.972685567;0.068494579;1.94;11.70017993;585.0089966;66.47829507;1.146177501;2.45;9.909023485;495.4511743;56.3012698;0.970711548
Camarate;1500;Encinar;Norte;45;Refugio;0.554234881;10/04/2024;07/06/2024;58;2;7.89;0.174;0.704826894;35.24134469;4.466583611;0.077010062;1.625;9.738207005;486.9103502;60.86379378;1.049375755;1.92;5.193364894;259.6682447;32.45853058;0.559629838
Camarate;1500;Encinar;Norte;45;Refugio;0.554234881;10/04/2024;07/06/2024;58;3;8.82;0.196;0.837701251;41.88506254;4.748873304;0.081877126;1.122;6.607354969;330.3677485;36.22453382;0.624560928;2.47;10.04912207;502.4561033;55.09387097;0.949894327
Camarate;1700;Robledal;Norte;1;Control;0.433905504;10/04/2024;05/06/2024;56;1;7;0.117;0.34772706;17.38635298;2.483764711;0.044352941;1.024;5.996963392;299.8481696;37.4810212;0.66930395;2.08;6.59792768;329.896384;41.237048;0.736375857
Camarate;1700;Robledal;Norte;4;Refugio;0.328830249;10/04/2024;05/06/2024;56;1;10.29;0.259;1.230095836;61.50479181;5.977142061;0.10673468;1.366;8.123991184;406.1995592;50.7749449;0.906695445;2.1;6.767238305;338.3619152;42.2952394;0.755272132
Camarate;1700;Robledal;Norte;4;Refugio;0.328830249;10/04/2024;05/06/2024;56;2;12.5;0.24;1.115906936;55.79534679;4.463627743;0.079707638;1.192;7.04023471;352.0117355;41.41314535;0.739520453;1.89;4.853551316;242.6775658;28.55030186;0.509826819
Camarate;1700;Robledal;Norte;5;Control;0.435913851;10/04/2024;05/06/2024;56;1;10;0.243;1.130440068;56.52200342;5.652200342;0.100932149;2.18;13.19397837;659.6989183;82.46236479;1.472542228;2.53;10.62143967;531.0719835;66.38399793;1.185428535
Camarate;1700;Robledal;Norte;5;Control;0.435913851;10/04/2024;05/06/2024;56;2;10;0.23;1.053622081;52.68110404;5.268110404;0.0940734;1.163;6.862722874;343.1361437;35.52133993;0.634309642;2.36;9.08929775;454.4648875;47.04605461;0.840108118
Camarate;1700;Robledal;Norte;6;Refugio;0.356924881;10/04/2024;05/06/2024;56;1;11.22;0.252;1.1885726;59.42862998;5.296669339;0.094583381;1.684;10.10776381;505.3881905;60.16526077;1.074379657;1.95;5.449715487;272.4857743;32.43878266;0.579263976
Camarate;1700;Robledal;Norte;6;Refugio;0.356924881;10/04/2024;05/06/2024;56;2;11;0.23;1.049469757;52.47348786;4.770317078;0.085184234;2.08;12.57112982;628.5564909;59.86252294;1.068973624;2.37;9.208530584;460.4265292;43.85014564;0.783038315
Camarate;1700;Robledal;Norte;6;Refugio;0.356924881;10/04/2024;05/06/2024;56;3;8.4;0.211;0.931128533;46.55642665;5.542431744;0.098971995;1.559;9.331279287;466.5639643;47.41503703;0.84669709;1.77;3.777474988;188.8737494;19.19448673;0.342758692
Camarate;1700;Robledal;Norte;66;Refugio;0.583936825;10/04/2024;05/06/2024;56;1;10.78;0.22;0.989261064;49.46305321;4.588409389;0.081935882;1.325;7.871737522;393.5868761;46.85558049;0.836706794;2.37;9.148914167;457.4457084;54.45782242;0.972461115
Camarate;1700;Robledal;Norte;66;Refugio;0.583936825;10/04/2024;05/06/2024;56;2;10.5;0.233;1.068155214;53.40776068;5.086453398;0.090829525;1.072;6.292816452;314.6408226;32.57151373;0.581634174;1.56;1.959174266;97.95871332;10.14065355;0.181083099
Camarate;1700;Robledal;Norte;66;Refugio;0.583936825;10/04/2024;05/06/2024;56;3;11.5;0.24;1.111754612;55.5877306;4.833715705;0.086316352;1.209;7.146118963;357.3059482;39.61263283;0.707368444;2.16;7.318690163;365.9345081;40.56923594;0.724450642
Camarate;1700;Robledal;Norte;67;Control;0.468103477;10/04/2024;05/06/2024;56;1;10.5;0.308;1.539443948;76.97219742;7.330685469;0.130905098;0.765;4.383785652;219.1892826;27.39866033;0.489261792;2.55;10.82115467;541.0577333;67.63221667;1.207718155
Camarate;1700;Robledal;Norte;67;Control;0.468103477;10/04/2024;05/06/2024;56;2;11;0.244;1.138744716;56.93723579;5.176112345;0.092430578;2.143;12.96663865;648.3319323;85.3068332;1.523336307;2.14;7.110032703;355.5016351;46.77653094;0.835295195
Camarate;1700;Robledal;Norte;67;Control;0.468103477;10/04/2024;05/06/2024;56;3;9.24;0.195;0.833548927;41.67744636;4.510546143;0.080545467;1.807;10.87386752;543.6933762;63.14673359;1.127620243;2.38;9.277089464;463.8544732;53.87392256;0.962034331
Camarate;1900;Serbal-Aceral;Norte;14;Refugio;0.940318352;15/04/2024;07/06/2024;53;1;6.4;0.209;0.918671562;45.93357811;7.177121579;0.135417388;1.597;9.56277133;478.1385665;68.01402084;1.283283412;1.46;1.017234876;50.86174382;7.234956447;0.136508612
Camarate;1900;Serbal-Aceral;Norte;14;Refugio;0.940318352;15/04/2024;07/06/2024;53;2;8.19;0.187;0.785797205;39.28986026;4.797296735;0.090515033;1.937;11.68357064;584.1785319;78.94304485;1.489491412;1.5;1.374933379;68.74666895;9.290090398;0.175284725
Camarate;1900;Serbal-Aceral;Norte;14;Refugio;0.940318352;15/04/2024;07/06/2024;53;3;7;0.263;1.25708594;62.854297;8.979185285;0.16941859;1.565;9.366574038;468.3287019;70.31962491;1.326785376;1.46;1.053004727;52.65023633;7.905440891;0.149159262
Camarate;1900;Serbal-Aceral;Norte;17;Control;0.050402304;15/04/2024;07/06/2024;53;1;7.41;2.271;13.76388479;688.1942394;92.87371652;1.752334274;2.405;14.59642568;729.821284;89.00259562;1.679294257;1.45;0.972522564;48.62612818;5.930015632;0.111887087
