Parcela;Cota;Ecosistema;Orientacion;Fecha_siembra;Fecha_revision;Microestacion;Protector;Tratamiento;Cobertura_arborea;Vivo;Muerto
Camarate;1700;Robledal;Norte;20230622;20240506;5;1;Control;0.435913851;1;
Camarate;1700;Robledal;Norte;20230622;20240506;5;2;Control;0.435913851;;
Camarate;1700;Robledal;Norte;20230622;20240506;5;3;Control;0.435913851;;
Camarate;1700;Robledal;Norte;20230622;20240506;66;1;Refugio;0.583936825;;
Camarate;1700;Robledal;Norte;20230622;20240506;66;2;Refugio;0.583936825;;
Camarate;1700;Robledal;Norte;20230622;20240506;66;3;Refugio;0.583936825;;
Camarate;1700;Robledal;Norte;20230622;20240506;6;1;Refugio;0.356924881;1;
Camarate;1700;Robledal;Norte;20230622;20240506;6;2;Refugio;0.356924881;;
Camarate;1700;Robledal;Norte;20230622;20240506;6;3;Refugio;0.356924881;;
Camarate;1700;Robledal;Norte;20230622;20240506;67;1;Control;0.468103477;;
Camarate;1700;Robledal;Norte;20230622;20240506;67;2;Control;0.468103477;;
Camarate;1700;Robledal;Norte;20230622;20240506;67;3;Control;0.468103477;;
Camarate;1700;Robledal;Norte;20230622;20240506;4;1;Refugio;0.328830249;;
Camarate;1700;Robledal;Norte;20230622;20240506;4;2;Refugio;0.328830249;;
Camarate;1700;Robledal;Norte;20230622;20240506;4;3;Refugio;0.328830249;;
Camarate;1700;Robledal;Norte;20230622;20240506;1;1;Control;0.433905504;;
Camarate;1700;Robledal;Norte;20230622;20240506;1;2;Control;0.433905504;;
Camarate;1700;Robledal;Norte;20230622;20240506;1;3;Control;0.433905504;;
Nacimiento;1200;Pinar_ha;Norte;20230704;20240604;Collar_21-24;1;Control;0.542004918;;
Nacimiento;1200;Pinar_ha;Norte;20230704;20240604;Collar_21-24;2;Control;0.542004918;;
Nacimiento;1200;Pinar_ha;Norte;20230704;20240604;Collar_21-24;3;Control;0.542004918;;
Nacimiento;1200;Pinar_ha;Norte;20230704;20240604;Collar_17-20;1;Refugio;0.316406647;;
Nacimiento;1200;Pinar_ha;Norte;20230704;20240604;Collar_17-20;2;Refugio;0.316406647;;
Nacimiento;1200;Pinar_ha;Norte;20230704;20240604;Collar_17-20;3;Refugio;0.316406647;;
Nacimiento;1200;Pinar_ha;Norte;20230704;20240604;Collar_13-16;1;Control;0.644406257;;
Nacimiento;1200;Pinar_ha;Norte;20230704;20240604;Collar_13-16;2;Control;0.644406257;;
Nacimiento;1200;Pinar_ha;Norte;20230704;20240604;Collar_13-16;3;Control;0.644406257;;
Nacimiento;1200;Pinar_ha;Norte;20230704;20240604;Collar_9-12;1;Refugio;0.344418743;;
Nacimiento;1200;Pinar_ha;Norte;20230704;20240604;Collar_9-12;2;Refugio;0.344418743;;
Nacimiento;1200;Pinar_ha;Norte;20230704;20240604;Collar_9-12;3;Refugio;0.344418743;;
Nacimiento;1200;Pinar_ha;Norte;20230704;20240604;Collar_5-8;1;Control;0.730136627;;
Nacimiento;1200;Pinar_ha;Norte;20230704;20240604;Collar_5-8;2;Control;0.730136627;;
Nacimiento;1200;Pinar_ha;Norte;20230704;20240604;Collar_5-8;3;Control;0.730136627;;
Nacimiento;1200;Pinar_ha;Norte;20230704;20240604;Collar_1-4;1;Refugio;0.544344462;;
Nacimiento;1200;Pinar_ha;Norte;20230704;20240604;Collar_1-4;2;Refugio;0.544344462;;
Nacimiento;1200;Pinar_ha;Norte;20230704;20240604;Collar_1-4;3;Refugio;0.544344462;;
Finana;1500;Encinar;Norte;20230407;20240604;Collar_16-18;1;Refugio;0.089204767;;
Finana;1500;Encinar;Norte;20230407;20240604;Collar_16-18;2;Refugio;0.089204767;;
Finana;1500;Encinar;Norte;20230407;20240604;Collar_16-18;3;Refugio;0.089204767;;
Finana;1500;Encinar;Norte;20230407;20240604;Collar_13-15;1;Control;0;;
Finana;1500;Encinar;Norte;20230407;20240604;Collar_13-15;2;Control;0;;
